"service_id","group","category_id","category","status","score","confidence","user_result","reason","source_ids"
"OWN-001","OWN","C11","성능과 안정성","scored","2","medium","성능과 안정성에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 성능과 안정성을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C12","개인정보·보안","scored","3","high","개인정보·보안에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 개인정보·보안을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C13","계정·권한·삭제","scored","2","medium","계정·권한·삭제에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 계정·권한·삭제을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C14","가격·결제·취소·환불","unknown","","low","결과 미확인","실제 결제·운영 또는 해당 기기 증거가 없어 미확인","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C15","고객지원·장애 대응","scored","1","medium","고객지원·장애 대응에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 고객지원·장애 대응을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C16","장기 사용과 유지","scored","1","medium","장기 사용과 유지에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 장기 사용과 유지을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C17","팀·관리자·운영","scored","1","medium","팀·관리자·운영에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 팀·관리자·운영을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C18","차별화 요소","scored","3","medium","차별화 요소에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 차별화 요소을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C19","사용자 신뢰","scored","2","medium","사용자 신뢰에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 사용자 신뢰을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C20","도입하면 안 되는 부작용","scored","1","medium","도입하면 안 되는 부작용에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 도입하면 안 되는 부작용을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C21","프로토콜 투명성","scored","3","high","프로토콜 투명성에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 프로토콜 투명성을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C22","킬 스위치·항상 연결","unknown","","low","결과 미확인","실제 결제·운영 또는 해당 기기 증거가 없어 미확인","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C23","DNS·IPv6·누출 확인","scored","2","medium","DNS·IPv6·누출 확인에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 DNS·IPv6·누출 확인을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C24","검열 환경 복구","scored","1","medium","검열 환경 복구에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 검열 환경 복구을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C25","서버 상태·혼잡·대체","scored","1","medium","서버 상태·혼잡·대체에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 서버 상태·혼잡·대체을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C26","기기·프로필 발급·폐기","scored","2","medium","기기·프로필 발급·폐기에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 기기·프로필 발급·폐기을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C27","무료 데이터·사용량 권리","scored","3","medium","무료 데이터·사용량 권리에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 무료 데이터·사용량 권리을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C28","관할·국가 지원 범위","scored","1","medium","관할·국가 지원 범위에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 관할·국가 지원 범위을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"SVC-001","A","C01","시작과 첫 가치","scored","3","medium","시작과 첫 가치에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 시작과 첫 가치 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C02","핵심 과업 완성도","scored","4","medium","핵심 과업 완성도에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 핵심 과업 완성도 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C03","개인화","scored","3","medium","개인화에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 개인화 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C04","결과 이해와 설명","scored","3","medium","결과 이해와 설명에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 결과 이해와 설명 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C05","오류·실패 복구","scored","3","medium","오류·실패 복구에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 오류·실패 복구 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C06","저장·내보내기·공유","unknown","","low","결과 미확인","공식 페이지에서 내보내기·공유의 실제 흐름을 확인하지 못함","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C07","모바일 경험","scored","4","medium","모바일 경험에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 모바일 경험 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C08","PC 경험","scored","4","medium","PC 경험에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 PC 경험 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C09","플랫폼 간 연속성","scored","3","medium","플랫폼 간 연속성에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 플랫폼 간 연속성 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C10","접근성","unknown","","low","결과 미확인","공식 페이지에서 내보내기·공유의 실제 흐름을 확인하지 못함","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C11","성능과 안정성","scored","3","medium","성능과 안정성에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 성능과 안정성 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C12","개인정보·보안","scored","3","medium","개인정보·보안에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 개인정보·보안 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C13","계정·권한·삭제","scored","3","medium","계정·권한·삭제에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 계정·권한·삭제 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C14","가격·결제·취소·환불","scored","3","medium","가격·결제·취소·환불에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 가격·결제·취소·환불 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C15","고객지원·장애 대응","scored","2","medium","고객지원·장애 대응에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 고객지원·장애 대응 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C16","장기 사용과 유지","scored","3","medium","장기 사용과 유지에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 장기 사용과 유지 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C17","팀·관리자·운영","scored","2","medium","팀·관리자·운영에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 팀·관리자·운영 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C18","차별화 요소","scored","3","medium","차별화 요소에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 차별화 요소 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C19","사용자 신뢰","scored","3","medium","사용자 신뢰에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 사용자 신뢰 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C20","도입하면 안 되는 부작용","scored","2","medium","도입하면 안 되는 부작용에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 도입하면 안 되는 부작용 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C21","프로토콜 투명성","scored","4","medium","프로토콜 투명성에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 프로토콜 투명성 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C22","킬 스위치·항상 연결","scored","3","medium","킬 스위치·항상 연결에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 킬 스위치·항상 연결 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C23","DNS·IPv6·누출 확인","scored","3","medium","DNS·IPv6·누출 확인에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 DNS·IPv6·누출 확인 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C24","검열 환경 복구","scored","2","medium","검열 환경 복구에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 검열 환경 복구 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C25","서버 상태·혼잡·대체","scored","2","medium","서버 상태·혼잡·대체에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 서버 상태·혼잡·대체 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C26","기기·프로필 발급·폐기","scored","3","medium","기기·프로필 발급·폐기에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 기기·프로필 발급·폐기 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C27","무료 데이터·사용량 권리","scored","3","medium","무료 데이터·사용량 권리에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 무료 데이터·사용량 권리 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-001","A","C28","관할·국가 지원 범위","scored","3","medium","관할·국가 지원 범위에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 관할·국가 지원 범위 제공 수준을 확인","SRC-001;SRC-039;SRC-040"
"SVC-002","A","C01","시작과 첫 가치","scored","3","medium","시작과 첫 가치에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 시작과 첫 가치 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C02","핵심 과업 완성도","scored","4","medium","핵심 과업 완성도에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 핵심 과업 완성도 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C03","개인화","scored","3","medium","개인화에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 개인화 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C04","결과 이해와 설명","scored","3","medium","결과 이해와 설명에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 결과 이해와 설명 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C05","오류·실패 복구","scored","3","medium","오류·실패 복구에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 오류·실패 복구 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C06","저장·내보내기·공유","unknown","","low","결과 미확인","공식 페이지에서 내보내기·공유의 실제 흐름을 확인하지 못함","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C07","모바일 경험","scored","4","medium","모바일 경험에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 모바일 경험 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C08","PC 경험","scored","4","medium","PC 경험에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 PC 경험 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C09","플랫폼 간 연속성","scored","3","medium","플랫폼 간 연속성에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 플랫폼 간 연속성 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C10","접근성","unknown","","low","결과 미확인","공식 페이지에서 내보내기·공유의 실제 흐름을 확인하지 못함","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C11","성능과 안정성","scored","3","medium","성능과 안정성에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 성능과 안정성 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C12","개인정보·보안","scored","3","medium","개인정보·보안에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 개인정보·보안 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C13","계정·권한·삭제","scored","3","medium","계정·권한·삭제에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 계정·권한·삭제 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C14","가격·결제·취소·환불","scored","3","medium","가격·결제·취소·환불에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 가격·결제·취소·환불 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C15","고객지원·장애 대응","scored","2","medium","고객지원·장애 대응에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 고객지원·장애 대응 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C16","장기 사용과 유지","scored","3","medium","장기 사용과 유지에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 장기 사용과 유지 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C17","팀·관리자·운영","scored","2","medium","팀·관리자·운영에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 팀·관리자·운영 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C18","차별화 요소","scored","3","medium","차별화 요소에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 차별화 요소 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C19","사용자 신뢰","scored","3","medium","사용자 신뢰에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 사용자 신뢰 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C20","도입하면 안 되는 부작용","scored","2","medium","도입하면 안 되는 부작용에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 도입하면 안 되는 부작용 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C21","프로토콜 투명성","scored","4","medium","프로토콜 투명성에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 프로토콜 투명성 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C22","킬 스위치·항상 연결","scored","3","medium","킬 스위치·항상 연결에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 킬 스위치·항상 연결 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C23","DNS·IPv6·누출 확인","scored","3","medium","DNS·IPv6·누출 확인에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 DNS·IPv6·누출 확인 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C24","검열 환경 복구","scored","2","medium","검열 환경 복구에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 검열 환경 복구 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C25","서버 상태·혼잡·대체","scored","2","medium","서버 상태·혼잡·대체에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 서버 상태·혼잡·대체 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C26","기기·프로필 발급·폐기","scored","3","medium","기기·프로필 발급·폐기에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 기기·프로필 발급·폐기 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C27","무료 데이터·사용량 권리","scored","3","medium","무료 데이터·사용량 권리에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 무료 데이터·사용량 권리 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-002","A","C28","관할·국가 지원 범위","scored","3","medium","관할·국가 지원 범위에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 관할·국가 지원 범위 제공 수준을 확인","SRC-002;SRC-039;SRC-040"
"SVC-003","A","C01","시작과 첫 가치","scored","3","medium","시작과 첫 가치에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 시작과 첫 가치 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C02","핵심 과업 완성도","scored","4","medium","핵심 과업 완성도에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 핵심 과업 완성도 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C03","개인화","scored","3","medium","개인화에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 개인화 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C04","결과 이해와 설명","scored","3","medium","결과 이해와 설명에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 결과 이해와 설명 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C05","오류·실패 복구","scored","3","medium","오류·실패 복구에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 오류·실패 복구 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C06","저장·내보내기·공유","unknown","","low","결과 미확인","공식 페이지에서 내보내기·공유의 실제 흐름을 확인하지 못함","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C07","모바일 경험","scored","4","medium","모바일 경험에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 모바일 경험 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C08","PC 경험","scored","4","medium","PC 경험에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 PC 경험 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C09","플랫폼 간 연속성","scored","3","medium","플랫폼 간 연속성에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 플랫폼 간 연속성 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C10","접근성","unknown","","low","결과 미확인","공식 페이지에서 내보내기·공유의 실제 흐름을 확인하지 못함","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C11","성능과 안정성","scored","3","medium","성능과 안정성에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 성능과 안정성 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C12","개인정보·보안","scored","3","medium","개인정보·보안에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 개인정보·보안 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C13","계정·권한·삭제","scored","3","medium","계정·권한·삭제에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 계정·권한·삭제 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C14","가격·결제·취소·환불","scored","3","medium","가격·결제·취소·환불에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 가격·결제·취소·환불 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C15","고객지원·장애 대응","scored","2","medium","고객지원·장애 대응에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 고객지원·장애 대응 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C16","장기 사용과 유지","scored","3","medium","장기 사용과 유지에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 장기 사용과 유지 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C17","팀·관리자·운영","scored","2","medium","팀·관리자·운영에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 팀·관리자·운영 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C18","차별화 요소","scored","3","medium","차별화 요소에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 차별화 요소 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C19","사용자 신뢰","scored","3","medium","사용자 신뢰에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 사용자 신뢰 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C20","도입하면 안 되는 부작용","scored","2","medium","도입하면 안 되는 부작용에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 도입하면 안 되는 부작용 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C21","프로토콜 투명성","scored","4","medium","프로토콜 투명성에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 프로토콜 투명성 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C22","킬 스위치·항상 연결","scored","3","medium","킬 스위치·항상 연결에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 킬 스위치·항상 연결 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C23","DNS·IPv6·누출 확인","scored","3","medium","DNS·IPv6·누출 확인에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 DNS·IPv6·누출 확인 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C24","검열 환경 복구","scored","2","medium","검열 환경 복구에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 검열 환경 복구 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C25","서버 상태·혼잡·대체","scored","2","medium","서버 상태·혼잡·대체에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 서버 상태·혼잡·대체 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C26","기기·프로필 발급·폐기","scored","3","medium","기기·프로필 발급·폐기에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 기기·프로필 발급·폐기 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
"SVC-003","A","C27","무료 데이터·사용량 권리","scored","3","medium","무료 데이터·사용량 권리에 대한 확인 가능한 사용자 결과","공식 기능·지원 자료에서 소비자 VPN의 무료 데이터·사용량 권리 제공 수준을 확인","SRC-003;SRC-039;SRC-040"
